Name,URL,HTTP Status,Actual Status
"Marina Slip Waitlist","https://new-ashtabula-initiative.vercel.app/marina/",200,REDIRECT_TO_MAIN
"Compassionate Planner","https://new-ashtabula-initiative.vercel.app/compassionate/",200,REDIRECT_TO_MAIN
"AidFlow Navigator","https://new-ashtabula-initiative.vercel.app/aidflow/",200,REDIRECT_TO_MAIN
"Resource Compass","https://new-ashtabula-initiative.vercel.app/resource/",200,REDIRECT_TO_MAIN
"Resource Compass Pro","https://new-ashtabula-initiative.vercel.app/resource-pro/",200,REDIRECT_TO_MAIN
"Policy Pal","https://new-ashtabula-initiative.vercel.app/policy-pal/",200,UNKNOWN
"Boat Storage Waitlist","https://new-ashtabula-initiative.vercel.app/boat-storage/",200,REDIRECT_TO_MAIN
"Harvest Alert","https://new-ashtabula-initiative.vercel.app/harvest/",200,REDIRECT_TO_MAIN
"AI Docent","https://new-ashtabula-initiative.vercel.app/ai-docent/",200,UNKNOWN
"AI Docent Pro","https://new-ashtabula-initiative.vercel.app/ai-docent-pro/",200,UNKNOWN
"Artist Commission Form","https://new-ashtabula-initiative.vercel.app/artist-commission/",200,REDIRECT_TO_MAIN
"Pocket Historian","https://new-ashtabula-initiative.vercel.app/historian/",200,REDIRECT_TO_MAIN
"Pocket Historian Pro","https://new-ashtabula-initiative.vercel.app/historian-pro/",200,REDIRECT_TO_MAIN
"Pocket Sommelier","https://new-ashtabula-initiative.vercel.app/sommelier/",200,REDIRECT_TO_MAIN
"Pocket Sommelier Pro","https://new-ashtabula-initiative.vercel.app/sommelier-pro/",200,REDIRECT_TO_MAIN
"GOTL Weekend Planner","https://new-ashtabula-initiative.vercel.app/gotl/",200,REDIRECT_TO_MAIN
"Harbor Cam Dashboard","https://new-ashtabula-initiative.vercel.app/harbor/",200,UNKNOWN
"Pet Matchmaker","https://new-ashtabula-initiative.vercel.app/pet-match/",200,REDIRECT_TO_MAIN
"Visual Portfolio","https://new-ashtabula-initiative.vercel.app/portfolio/",200,REDIRECT_TO_MAIN
"Volunteer Scheduler","https://new-ashtabula-initiative.vercel.app/volunteer/",200,REDIRECT_TO_MAIN
"Wedding Lead Form","https://new-ashtabula-initiative.vercel.app/wedding/",200,REDIRECT_TO_MAIN
"Through the Grapevine","https://new-ashtabula-initiative.vercel.app/wine/",200,REDIRECT_TO_MAIN
