slug,site,route,category,canonical_target,observed_target,target_alignment,bucket,overall_status,branding_status,design_score,branding_score,clarity_score,white_label_fit,branding_work_remaining,branding_refinement_score,has_research,has_brandkit,has_emails,artifact_score,priority_score
policy-pal,Policy Pal,https://new-ashtabula-initiative.vercel.app/policy-pal/,🚛 Transportation & Logistics (6 sites),Kollhoff Insurance Agency,Kollhoff Insurance Agency,True,ready_to_pitch,excellent,branded,9,9,10,4,1,1,True,True,True,3,34.25
rennick-market,Rennick Market,https://new-ashtabula-initiative.vercel.app/rennick-market/,🎉 Events & Community (6 sites),Rennick Meat Market,Rennick Meat Market,True,ready_to_pitch,excellent,branded,9,9,10,8,1,1,True,True,True,3,34.25
ride-ready,Ride Ready,https://new-ashtabula-initiative.vercel.app/ride-ready/,🛒 Local Services (12 sites),Ashtabula County Transportation System (ACTS),Ashtabula County Transportation System,True,ready_to_pitch,excellent,branded,9,9,10,8,1,1,True,True,True,3,34.25
roofquote,RoofQuote,https://new-ashtabula-initiative.vercel.app/roofquote/,🏪 Additional Business Sites (14 sites),A & R Roofing,A & R Roofing,True,ready_to_pitch,excellent,branded,9,9,10,8,1,1,True,True,True,3,34.25
wedding,Wedding Lead Form,https://new-ashtabula-initiative.vercel.app/wedding/,🎉 Events & Community (6 sites),Elks Lodge #208,Elks Lodge #208,True,ready_to_pitch,excellent,branded,9,9,10,9,1,1,True,True,True,3,34.25
ai-docent-pro,AI Docent Pro,https://new-ashtabula-initiative.vercel.app/ai-docent-pro/,❤️ Health & Social Services (6 sites),Ashtabula County Historical Society (ACHS),Ashtabula County Historical Society,True,ready_to_pitch,excellent,branded,9,9,9,7,1,1,True,True,True,3,33.25
auto-detail,Auto Detail Booking,https://new-ashtabula-initiative.vercel.app/auto-detail/,🛒 Local Services (12 sites),Flawless Coating & Detailing,Flawless Coating & Detailing,True,ready_to_pitch,excellent,branded,9,9,9,4,1,1,True,True,True,3,33.25
boxflow,BoxFlow Estimator,https://new-ashtabula-initiative.vercel.app/boxflow/,💼 Business & Investment (7 sites),"World Shipping, Inc. (Port of Ashtabula)","World Shipping, Inc.",True,ready_to_pitch,excellent,branded,9,9,9,4,1,1,True,True,True,3,33.25
charter,Charter Booking,https://new-ashtabula-initiative.vercel.app/charter/,🚛 Transportation & Logistics (6 sites),Compensator Lake Erie Fishing Charters,Compensator Lake Erie Fishing Charters,True,ready_to_pitch,excellent,branded,9,9,9,8,1,1,True,True,True,3,33.25
civic-insight,Civic Insight Engine,https://new-ashtabula-initiative.vercel.app/civic-insight/,🏛️ Government & Civic (9 sites),Ashtabula County Government (Transparency Portal),Ashtabula County Government,True,ready_to_pitch,excellent,branded,9,9,9,8,1,1,True,True,True,3,33.25
curbside,Curbside Pickup Tracker,https://new-ashtabula-initiative.vercel.app/curbside/,🏠 Home & Property (9 sites),Harbor Gardens,Harbor Gardens,True,ready_to_pitch,excellent,branded,9,9,9,7,1,1,True,True,True,3,33.25
harbor,Harbor Cam Dashboard,https://new-ashtabula-initiative.vercel.app/harbor/,🎨 Arts & Culture (7 sites),Ashtabula Yacht Club,Ashtabula Yacht Club,True,ready_to_pitch,excellent,branded,9,9,9,6,1,1,True,True,True,3,33.25
portfolio,Visual Portfolio,https://new-ashtabula-initiative.vercel.app/portfolio/,🎨 Arts & Culture (7 sites),PIPE! Creative,PIPE! Creative,True,ready_to_pitch,excellent,branded,9,9,9,4,1,1,True,True,True,3,33.25
site-ops-pro,Site Ops Pro,https://new-ashtabula-initiative.vercel.app/site-ops-pro/,🏪 Additional Business Sites (14 sites),"Brobst Earthworks, LTD","Brobst Earthworks, LTD",True,ready_to_pitch,excellent,branded,9,9,9,7,1,1,True,True,True,3,33.25
volunteer,Volunteer Scheduler,https://new-ashtabula-initiative.vercel.app/volunteer/,🎨 Arts & Culture (7 sites),RSVP (Retired Senior Volunteer Program) - Axess Family Services,Axess Family Services,True,ready_to_pitch,excellent,branded,9,9,9,7,1,1,True,True,True,3,33.25
zoning,Zoning Clerk,https://new-ashtabula-initiative.vercel.app/zoning/,🏛️ Government & Civic (9 sites),Ashtabula County Planning & Development Department,Ashtabula County Planning & Development Department,True,ready_to_pitch,excellent,branded,9,9,9,8,1,1,True,True,True,3,33.25
terra-vantage,Terra Vantage,https://new-ashtabula-initiative.vercel.app/terra-vantage/,🏪 Additional Business Sites (14 sites),Severino Construction,Severino Construction,True,ready_to_pitch,excellent,branded,9,8,9,8,2,2,True,True,True,3,31.0
truck-wash,Truck Wash Booking,https://new-ashtabula-initiative.vercel.app/truck-wash/,🛒 Local Services (12 sites),Quick Clean Car and Truck Wash,Quick Clean Car and Truck Wash,True,ready_to_pitch,excellent,branded,9,8,9,7,2,2,True,True,True,3,31.0
sbdc-business-planning,SBDC Business Planning,https://new-ashtabula-initiative.vercel.app/sbdc-business-planning/,🏪 Additional Business Sites (14 sites),Ohio Small Business Development Centers (State Network),Lakeland Community College Small Business Development Center,False,promising,excellent,branded,9,9,10,7,1,1,True,True,True,3,32.25
trumbull-locker,Trumbull Locker,https://new-ashtabula-initiative.vercel.app/trumbull-locker/,🎉 Events & Community (6 sites),Trumbull Locker Plant,Trumbull Meat Locker,False,promising,excellent,branded,9,9,10,8,1,1,True,True,True,3,32.25
fence-quote,Fence Quote,https://new-ashtabula-initiative.vercel.app/fence-quote/,💼 Business & Investment (7 sites),Miller's Integrity Construction LLC,Miller's Integrity Construction LLC,True,promising,good,branded,8,9,9,4,1,1,True,True,True,3,31.25
permits,Permit Whisperer,https://new-ashtabula-initiative.vercel.app/permits/,🏛️ Government & Civic (9 sites),City of Ashtabula,City of Ashtabula,True,promising,excellent,branded,9,9,10,8,1,1,False,False,True,1,31.25
sbdc-learning-modules,SBDC Learning Modules,https://new-ashtabula-initiative.vercel.app/sbdc-learning-modules/,🏪 Additional Business Sites (14 sites),Ohio Small Business Development Centers (Statewide Network),Lakeland Community College Small Business Development Center (SBDC),False,promising,excellent,branded,9,9,9,8,1,1,True,True,True,3,31.25
invest,Invest Ashtabula,https://new-ashtabula-initiative.vercel.app/invest/,🏛️ Government & Civic (9 sites),Ashtabula Area Chamber of Commerce,Ashtabula Area Chamber of Commerce,True,promising,excellent,branded,9,9,9,8,1,1,False,False,True,1,30.25
license,License Wizard,https://new-ashtabula-initiative.vercel.app/license/,🏛️ Government & Civic (9 sites),City of Ashtabula,City of Ashtabula,True,promising,excellent,branded,9,9,9,8,1,1,False,False,True,1,30.25
eligibility-lite,Eligibility Lite,https://new-ashtabula-initiative.vercel.app/eligibility-lite/,🏛️ Government & Civic (9 sites),Ashtabula County Department of Job and Family Services,City of Ashtabula,False,promising,good,branded,8,9,9,7,1,1,True,True,True,3,29.25
eligibility-pro,Eligibility Pro,https://new-ashtabula-initiative.vercel.app/eligibility-pro/,🏛️ Government & Civic (9 sites),Ashtabula County Department of Job and Family Services (ACDJFS),Ashtabula County Community Action Agency,False,promising,good,branded,8,9,9,7,1,1,True,True,True,3,29.25
sbdc-educational-resources,SBDC Educational Resources,https://new-ashtabula-initiative.vercel.app/sbdc-educational-resources/,🏪 Additional Business Sites (14 sites),Ohio Small Business Development Centers (Statewide Network),Lakeland Community College Small Business Development Center,False,promising,good,branded,8,9,9,7,1,1,True,True,True,3,29.25
event-permit,Event Permit Express,https://new-ashtabula-initiative.vercel.app/event-permit/,🏛️ Government & Civic (9 sites),Ashtabula County Fairgrounds,Ashtabula County Fairgrounds,True,promising,good,branded,8,8,9,7,2,2,True,True,True,3,29.0
rental,Rental Availability,https://new-ashtabula-initiative.vercel.app/rental/,🏠 Home & Property (9 sites),Ridgeview Estates,Ridgeview Estates,True,promising,good,branded,8,8,9,9,2,2,True,True,True,3,29.0
resource-pro,Resource Compass Pro,https://new-ashtabula-initiative.vercel.app/resource-pro/,🚛 Transportation & Logistics (6 sites),OhioMeansJobs Ashtabula County,G.O. Community Development Corp,False,promising,good,branded,8,7,9,8,3,3,True,True,True,3,24.75
aidflow,AidFlow Navigator,https://new-ashtabula-initiative.vercel.app/aidflow/,🚛 Transportation & Logistics (6 sites),211 Ashtabula County / United Way of Ashtabula County,United Way of Ashtabula County,True,needs_polish,excellent,branded,9,9,10,8,1,1,False,False,False,0,29.75
sommelier-pro,Pocket Sommelier Pro,https://new-ashtabula-initiative.vercel.app/sommelier-pro/,🎨 Arts & Culture (7 sites),Ferrante Winery & Ristorante,Ferrante Winery & Ristorante,True,needs_polish,excellent,branded,9,9,10,4,1,1,False,False,False,0,29.75
snow-plow,Snow Plow Tracker,https://new-ashtabula-initiative.vercel.app/snow-plow/,🏠 Home & Property (9 sites),MC Professional Lawn Care and Snow Plowing,MC Professional Lawn Care and Snow Plowing,True,needs_polish,excellent,branded,9,9,9,4,1,1,False,False,False,0,28.75
sbdc-support-tools,SBDC Support Tools,https://new-ashtabula-initiative.vercel.app/sbdc-support-tools/,🏪 Additional Business Sites (14 sites),Ohio Small Business Development Centers (State Network),Lakeland Community College Small Business Development Center,False,needs_polish,excellent,branded,9,9,9,7,1,1,False,False,False,0,26.75
historian-pro,Pocket Historian Pro,https://new-ashtabula-initiative.vercel.app/historian-pro/,❤️ Health & Social Services (6 sites),Ashtabula County Historical Society,Ashtabula County Historical Society,True,needs_polish,excellent,branded,9,8,9,8,2,2,False,False,False,0,26.5
gotl,GOTL Weekend Planner,https://new-ashtabula-initiative.vercel.app/gotl/,🎨 Arts & Culture (7 sites),Geneva-on-the-Lake Convention and Visitors Bureau,Geneva-on-the-Lake Tourism Bureau,False,needs_polish,good,branded,8,9,9,7,1,1,False,False,False,0,24.75
harvest,Harvest Alert,https://new-ashtabula-initiative.vercel.app/harvest/,❤️ Health & Social Services (6 sites),Ashtabula Farmers Market,Ashtabula County Board of Commissioners,False,needs_polish,good,branded,8,9,9,7,1,1,False,False,False,0,24.75
sbdc-business-counseling,SBDC Business Counseling,https://new-ashtabula-initiative.vercel.app/sbdc-business-counseling/,🏪 Additional Business Sites (14 sites),Ohio SBDC at Lakeland Community College,Lakeland Community College SBDC,False,needs_polish,good,branded,8,9,9,7,1,1,False,False,False,0,24.75
farm-stand,Farm Stand Finder,https://new-ashtabula-initiative.vercel.app/farm-stand/,🏠 Home & Property (9 sites),Ashtabula Farmers Market,"Ashtabula County, Ohio",False,needs_polish,excellent,branded,9,8,9,9,2,2,False,False,False,0,24.5
landlord,Landlord Repair Queue,https://new-ashtabula-initiative.vercel.app/landlord/,💼 Business & Investment (7 sites),Ashtabula Metropolitan Housing Authority (AMHA),Ashtabula Metropolitan Housing Authority,True,needs_polish,excellent,branded,9,10,9,4,10,0,True,True,True,3,23.0
concierge,Virtual Concierge,https://new-ashtabula-initiative.vercel.app/concierge/,🛒 Local Services (12 sites),The Lodge at Geneva-on-the-Lake,None,False,needs_polish,good,partial,8,6,9,9,4,4,True,True,True,3,22.5
cut-custom,Cut Custom,https://new-ashtabula-initiative.vercel.app/cut-custom/,🎉 Events & Community (6 sites),Trumbull Locker Plant,None,False,needs_polish,good,partial,8,6,9,9,4,4,True,True,True,3,22.5
govtech,GovTech Box,https://new-ashtabula-initiative.vercel.app/govtech/,🏛️ Government & Civic (9 sites),Ashtabula County Data Board / IT Services,None,False,needs_polish,good,partial,8,6,9,9,4,4,True,True,True,3,22.5
mytrip,MyTrip Planner,https://new-ashtabula-initiative.vercel.app/mytrip/,🛒 Local Services (12 sites),Visit Ashtabula County (Official Tourism Site),Ashtabula County Convention & Visitors Bureau,False,needs_polish,good,partial,8,6,9,9,4,4,True,True,True,3,22.5
routes,Route Optimizer,https://new-ashtabula-initiative.vercel.app/routes/,🛒 Local Services (12 sites),Ashtabula County Transportation System (ACTS),Ashtabula County Government,False,needs_polish,good,partial,8,6,9,9,4,4,True,True,True,3,22.5
thomas-fence,Thomas Fence,https://new-ashtabula-initiative.vercel.app/thomas-fence/,🎉 Events & Community (6 sites),Thomas Fence Co.,Thomas Fence Co.,True,needs_polish,good,branded,8,7,9,8,3,3,False,False,False,0,22.25
resource,Resource Compass,https://new-ashtabula-initiative.vercel.app/resource/,🚛 Transportation & Logistics (6 sites),211 Ashtabula County / United Way of Ashtabula County,Ashtabula County Family and Children First Council,False,needs_polish,good,branded,7,8,9,6,2,2,False,False,False,0,21.5
ashtabula-fence,Ashtabula Fence,https://new-ashtabula-initiative.vercel.app/ashtabula-fence/,🎉 Events & Community (6 sites),Thomas Fence Co.,Ashtabula Fence Co. LLC,False,needs_polish,good,partial,8,6,9,9,5,5,True,True,True,3,21.25
plating-pro,Plating Tracker Pro,https://new-ashtabula-initiative.vercel.app/plating-pro/,💼 Business & Investment (7 sites),Lake City Plating,Lake City Plating,True,needs_polish,good,partial,7,5,8,9,6,6,True,True,True,3,19.0
historian,Pocket Historian,https://new-ashtabula-initiative.vercel.app/historian/,❤️ Health & Social Services (6 sites),Ashtabula County Historical Society,Ashtabula Maritime Museum,False,needs_polish,good,partial,7,5,8,9,5,5,True,True,True,3,18.25
parts,Parts Finder,https://new-ashtabula-initiative.vercel.app/parts/,💼 Business & Investment (7 sites),Grand River Rubber & Plastics Co.,Ace Parts Company,False,needs_polish,good,partial,8,6,9,9,5,5,False,False,True,1,18.25
parking,Visitor Parking Finder,https://new-ashtabula-initiative.vercel.app/parking/,🛒 Local Services (12 sites),City of Ashtabula,Ashtabula County,False,needs_polish,good,partial,8,4,9,9,7,7,True,True,True,3,16.75
adaptive-reuse,Adaptive Reuse Planner,https://new-ashtabula-initiative.vercel.app/adaptive-reuse/,🏠 Home & Property (9 sites),Renew Partners LLC,"City of Geneva, Ohio",False,needs_polish,good,branded,7,6,8,9,4,4,False,False,False,0,16.0
mytrip-export,MyTrip Export,https://new-ashtabula-initiative.vercel.app/mytrip-export/,🛒 Local Services (12 sites),Ashtabula County Convention & Visitors Bureau,Ashtabula County Convention & Visitors Bureau,True,needs_polish,mixed,partial,6,4,7,8,7,7,True,True,True,3,14.75
scheduler,Service Scheduler,https://new-ashtabula-initiative.vercel.app/scheduler/,🛒 Local Services (12 sites),Blank Heating Company Inc,None,False,needs_polish,good,unbranded,8,3,9,9,8,8,True,True,True,3,14.5
plating,Plating Tracker,https://new-ashtabula-initiative.vercel.app/plating/,💼 Business & Investment (7 sites),Lake City Plating,Lake City Plating,True,needs_polish,good,partial,7,4,8,9,7,7,False,False,False,0,12.25
scheduler-sms,Service Scheduler SMS,https://new-ashtabula-initiative.vercel.app/scheduler-sms/,🛒 Local Services (12 sites),Blank Heating Company Inc,"Ashtabula County, OH",False,needs_polish,good,partial,8,4,9,9,7,7,False,False,False,0,12.25
parts-request,Parts Request,https://new-ashtabula-initiative.vercel.app/parts-request/,💼 Business & Investment (7 sites),Grand River Rubber & Plastics Co.,Ace Parts Company,False,needs_polish,good,partial,7,4,8,9,7,7,False,False,False,0,10.25
sommelier,Pocket Sommelier,https://new-ashtabula-initiative.vercel.app/sommelier/,🎨 Arts & Culture (7 sites),Ferrante Winery & Ristorante,Ferrante Winery,True,needs_polish,mixed,partial,6,4,7,8,7,7,False,False,False,0,10.25
engineers,Engineer's Assistant,https://new-ashtabula-initiative.vercel.app/engineers/,🏠 Home & Property (9 sites),City of Ashtabula Engineering Division,Ashtabula County Engineering Department,False,needs_polish,mixed,unbranded,6,3,8,9,8,8,False,False,False,0,7.0
blueprint,Blueprint Analyzer,https://new-ashtabula-initiative.vercel.app/blueprint/,💼 Business & Investment (7 sites),Ashtabula County Building Department,Ashtabula Chamber of Commerce,False,needs_polish,mixed,unbranded,4,3,5,8,9,9,True,True,True,3,5.25
artist-commission,Artist Commission Form,https://new-ashtabula-initiative.vercel.app/artist-commission/,❤️ Health & Social Services (6 sites),Ashtabula Arts Center,"Ashtabula County, OH",False,needs_polish,mixed,partial,3,4,6,8,8,8,False,False,False,0,3.0
pet-match,Pet Matchmaker,https://new-ashtabula-initiative.vercel.app/pet-match/,🎨 Arts & Culture (7 sites),Ashtabula County Animal Protective League (ACAPL),None,False,not_ready,broken,unbranded,4,2,6,8,9,9,True,True,True,3,5.25
